model_no,core_count,core_clock,boost_clock,graphics,socket
30629,8,3.6,4,,
30630,4,3.8,4.2,,
30631,4,3.7,4.3,Intel UHD Graphics 630,
30632,4,2.8,,,
30633,6,4,4.9,Intel HD Graphics P630,
30634,4,3.2,3.9,Intel HD Graphics 4600,
30635,4,3.5,,,
30636,2,3.33,,,
30637,2,3.4,,Intel HD Graphics 2000,
30638,4,3.4,,,
30639,4,3.2,,Radeon HD 7560D,
30640,2,2.8,,Intel HD Graphics,
30641,4,3.6,3.8,,
30642,4,2.7,3.5,Intel HD Graphics 530,
30643,6,3.1,4.3,Intel UHD Graphics 630,
30644,4,2.7,3.2,Intel HD Graphics 2500,
30645,2,3.5,,Radeon Vega 3,
30646,4,3,,,
30647,4,3.3,3.7,Iris Pro Graphics 6200,
30648,4,2.8,,Intel HD Graphics 2500,
30649,4,3.4,3.8,Intel HD Graphics P4600,
30650,4,3.1,3.3,Intel HD Graphics 2500,
30651,8,3.2,3.8,,
30652,4,3.3,3.9,Intel HD Graphics 530,
30653,4,2.2,2.8,Intel HD Graphics 530,
30654,6,3.4,3.6,,
30655,4,3.1,3.8,Intel HD Graphics 2500,
30656,2,3.9,,Intel UHD Graphics 630,
30657,4,3.4,,Intel HD Graphics 2500,
30658,4,3.5,3.9,,
30659,8,1.8,2.3,,
30660,4,3.1,3.8,Radeon R7 (on-die),
30661,10,2.5,3.3,,
30662,4,3.8,4.1,,
30663,2,3.4,,Intel HD Graphics 4000,
30664,10,1.7,2.1,,
30665,4,4,4.2,,
30666,24,3,4.2,,
30667,14,3.3,4.4,,
30668,4,2.93,,,
30669,8,1.7,,,
30670,2,2.6,,,
30671,2,1.6,,,
30672,4,2.6,,,
30673,4,3.6,4,Intel HD Graphics P530,
30674,4,3.3,3.7,Intel HD Graphics P530,
30675,4,4,4.2,,
30676,2,3.2,,Intel HD Graphics,
30677,4,3,,,
30678,4,3.4,,,
30679,4,3.4,3.8,,
30680,4,2.8,3.3,Intel HD Graphics 4600,
30681,4,2.5,3.7,Intel HD Graphics 4000,
30682,2,3.9,,Intel HD Graphics 530,
30683,2,3.3,,Intel HD Graphics,
30684,4,3,3.5,Radeon R7 (on-die),
30685,6,3,4.4,Intel UHD Graphics 630,
30686,4,3.4,,Intel HD Graphics,
30687,4,2.93,,,
30688,4,3.4,,Intel HD Graphics P4000,
30689,4,2.93,,,
30690,2,3.5,,Intel HD Graphics 530,
30691,2,2.6,,Intel HD Graphics,
30692,6,2.7,,,
30693,2,3.3,,Intel HD Graphics 4000,
30694,2,3.6,,Radeon HD 7540D,
30695,4,1.6,,Radeon HD 8400,
30696,4,3.8,,,
30697,4,3.3,3.7,Intel HD Graphics P4600,
30698,4,3.4,3.8,,
30699,2,3.5,,Intel HD Graphics 610,
30700,2,3.5,3.8,Radeon R5 (on die),
30701,2,3.2,,,
30702,4,3,3.5,,
30703,2,2.8,,Intel HD Graphics 510,
30704,4,2.4,,,
30705,12,2.9,4.4,,
30706,4,3.06,,,
30707,6,3.2,,,
30708,1,2.7,,,
30709,4,3.8,,,
30710,10,2.2,3,,
30711,6,3.2,3.8,,
30712,6,1.6,,,
30713,14,1.7,2.5,,
30714,6,2.3,3.7,Intel UHD Graphics 630,
30715,16,3.5,4.4,,
30716,6,2.3,3.9,Intel UHD Graphics 630,
30717,6,3.8,4.9,Intel HD Graphics P630,
30718,4,3.8,4.5,Intel UHD Graphics 630,
30719,2,2.6,,Intel HD Graphics 2000,
30720,2,3.1,,Intel HD Graphics 3000,
30721,8,4.4,4.7,,
30722,8,2.7,3.3,,
30723,8,1.8,2.9,,
30724,2,2.66,,,
30725,2,3.333,,,
30726,4,2.9,,Radeon HD 6550D,
30727,2,2.9,,Intel HD Graphics 2500,
30728,4,3.1,,,
30729,4,4,4.3,Radeon HD 8670D,
30730,8,2.9,3.8,,
30731,8,2.6,3.3,,
30732,8,3.3,4,,
30733,4,2.5,3.7,Intel HD Graphics,
30734,6,3.6,3.8,,
30735,2,4,,Intel HD Graphics 630,
30736,4,4,4.6,Intel HD Graphics 630,
30737,4,2.8,,,
30738,6,3.7,4.7,Intel HD Graphics P630,
30739,4,3.5,3.9,Intel HD Graphics 4600,
30740,6,3.4,4.8,,
30741,4,3.6,,,
30742,6,2.4,3.2,,
30743,2,3.7,4,Radeon R5 (on die),
30744,6,3.4,3.7,,
30745,8,3.4,5,Intel HD Graphics P630,
30746,2,2.6,,,
30747,4,2.8,,,
30748,4,2.66,,,
30749,3,3.3,,,
30750,4,3.2,,,
30751,4,3.7,,,
30752,2,2.8,,Intel HD Graphics 2500,
30753,2,3.5,,Intel HD Graphics 4600,
30754,4,3.6,4,,
30755,2,3.4,,Intel HD Graphics 2500,
30756,4,2.8,3.6,Intel HD Graphics 530,
30757,4,3.5,3.9,,
30758,8,3.2,3.8,,
30759,10,2.4,3.2,,
30760,4,4,,Intel UHD Graphics 630,
30761,2,3.333,,Intel HD Graphics,
30762,2,3.3,,Intel HD Graphics,
30763,4,3.7,,Radeon HD 8670D,
30764,4,3.8,,Radeon HD 7660D,
30765,8,3.2,3.7,,
30766,2,1.86,,,
30767,2,3.6,,Intel HD Graphics,
30768,4,2.66,,,
30769,4,3.5,3.9,Intel HD Graphics 4600,
30770,4,3.5,3.9,Intel HD Graphics P4600,
30771,8,3.3,4.3,,
30772,2,3.4,,,
30773,2,3.2,,Intel HD Graphics 530,
30774,4,3.6,4,Intel HD Graphics P530,
30775,4,3.5,3.9,,
30776,2,3.5,,Radeon Vega 3,
30777,6,2.9,4.1,Intel UHD Graphics 630,
30778,4,2,,Intel HD Graphics 4000,
30779,14,2.3,3.3,,
30780,4,2.9,,,
30781,4,1.8,,,
30782,4,3.7,4,,
30783,2,1.8,,,
30784,2,2.2,,,
30785,2,2.8,,Intel HD Graphics,
30786,4,2.66,,,
30787,4,2.8,,,
30788,4,2.6,,Radeon HD 6530D,
30789,8,3.1,,,
30790,2,3.6,,Intel HD Graphics 4600,
30791,4,3.6,4,Intel HD Graphics P4600,
30792,8,2.9,3.8,,
30793,4,3.7,3.8,,
30794,4,3,3.5,,
30795,8,3.4,4.3,,
30796,4,2.5,3.1,Intel HD Graphics 530,
30797,8,4,4.3,,
30798,6,3.5,4,,
30799,6,2.2,2.7,,
30800,4,3.2,,Intel UHD Graphics 630,
30801,8,3.6,4,,
30802,12,3.5,4.3,,
30803,2,3.4,,Radeon Vega 3,
30804,6,3.3,4.5,,
30805,2,2.7,,Radeon HD 6410D,
30806,2,2.5,,Radeon HD 6410D,
30807,4,3.5,3.8,,
30808,4,4.1,4.5,Intel HD Graphics 630,
30809,6,3.5,4.5,Intel HD Graphics P630,
30810,2,2.8,,,
30811,4,3.33,,,
30812,6,3,,,
30813,2,2.8,,Intel HD Graphics,
30814,3,2.1,,Radeon HD 6530D,
30815,8,3.6,,,
30816,4,3.2,,,
30817,4,3.2,,Intel HD Graphics P4000,
30818,8,4.7,5,,
30819,8,3,3.5,,
30820,12,1.8,2.5,,
30821,4,2.9,,Intel HD Graphics 4600,
30822,4,3.6,4,,
30823,4,2.9,3.9,,
30824,4,2,3,Intel HD Graphics P530,
30825,6,1.7,,,
30826,4,2.2,,Radeon R3 (on die),
30827,8,3.8,4.5,,
30828,6,3.1,4.6,Intel UHD Graphics 630,
30829,6,3.3,4.5,,
30830,4,4,4.9,Intel HD Graphics P630,
30831,6,3.5,3.8,,
30832,4,3.5,,Intel HD Graphics P4000,
30833,4,3.9,4.2,,
30834,4,2.66,,,
30835,2,3.3,,Intel HD Graphics 3000,
30836,2,3.7,3.9,Radeon HD 8370D,
30837,6,3.4,3.7,,
30838,12,2.6,3.2,,
30839,14,2,3,,
30840,4,3,3.5,,
30841,4,3.3,3.7,Intel HD Graphics P630,
30842,4,3.8,4.7,Intel HD Graphics P630,
30843,4,2.6,,,
30844,2,1.6,,,
30845,2,2.2,,,
30846,2,2,,,
30847,2,2.5,,,
30848,2,2.33,,,
30849,2,2.66,,,
30850,4,2.66,,,
30851,4,3.4,,,
30852,2,3.4,,,
30853,6,3.8,,,
30854,2,2.4,,Intel HD Graphics,
30855,4,3.4,,Radeon HD 7660D,
30856,4,3,,,
30857,4,3.2,,Intel HD Graphics,
30858,4,3.3,,Intel HD Graphics,
30859,2,3.2,,Intel HD Graphics,
30860,4,2.8,3.3,Intel HD Graphics 2500,
30861,6,2.1,2.6,,
30862,2,3.7,,Intel HD Graphics 4600,
30863,2,3.1,,Intel HD Graphics,
30864,1,2.9,,,
30865,16,2.4,3.3,,
30866,4,4.1,4.3,Radeon R7 (on-die),
30867,4,3.9,4.1,,
30868,4,3.3,3.7,Radeon R7 (on-die),
30869,6,2.5,3,,
30870,6,3,4.4,,
30871,6,3.4,4.8,,
30872,4,3.2,,Intel HD Graphics P630,
30873,6,3.6,4.8,Intel HD Graphics P630,
30874,2,4.2,,Intel UHD Graphics 630,
30875,2,3.7,,Intel HD Graphics 630,
30876,2,3.33,,Intel HD Graphics,
30877,2,3,,,
30878,2,3.33,,Intel HD Graphics,
30879,2,2.5,,Intel HD Graphics,
30880,2,2.6,,Intel HD Graphics 510,
30881,4,3.4,4.5,Intel HD Graphics P630,
30882,3,2.8,,,
30883,2,2.4,,,
30884,2,2,,,
30885,2,3.33,,,
30886,4,3.2,,,
30887,4,3,,,
30888,1,2.8,,,
30889,4,2.5,,Intel HD Graphics 3000,
30890,8,2.8,,,
30891,4,4.2,,,
30892,2,3,,Radeon HD 7480D,
30893,2,4,4.2,Radeon HD 8000 Series,
30894,2,3.3,,Intel HD Graphics,
30895,4,3.5,3.9,Radeon R7 (on-die),
30896,4,3.6,,,
30897,4,3.5,3.8,,
30898,4,3.5,3.9,Radeon R7 (on-die),
30899,2,3.8,4,Radeon HD 8470D,
30900,4,3.6,4,Radeon R7 (on-die),
30901,8,3.2,3.7,,
30902,2,2.9,,Intel HD Graphics 610,
30903,2,2.9,,Intel HD Graphics 610,
30904,2,3.5,,Intel HD Graphics 630,
30905,4,3.6,3.9,Radeon R7 (on-die),
30906,6,3.3,4.5,Intel HD Graphics P630,
30907,4,2.3,,Intel HD Graphics 4600,
30908,8,2.4,3.1,,
30909,2,1.8,,,
30910,4,3.1,,,
30911,4,4.2,,,
30912,2,3.6,,Intel HD Graphics,
30913,2,3.6,,Intel HD Graphics,
30914,4,2.8,,,
30915,2,3.06,,,
30916,4,2.66,,,
30917,4,2.83,,,
30918,4,3,,,
30919,4,3.1,,,
30920,3,3.2,,,
30921,2,3.1,,Intel HD Graphics,
30922,4,3.3,,,
30923,4,2.5,,Intel HD Graphics 2500,
30924,4,3.2,3.6,Intel HD Graphics P4600,
30925,6,3.3,3.9,,
30926,4,4.1,,Radeon HD 8670D,
30927,2,2.9,,,
30928,2,3.1,,Intel HD Graphics 4400,
30929,6,2.3,,,
30930,8,4,4.3,,
30931,2,3.4,,Intel HD Graphics,
30932,10,3,3.5,,
30933,2,3.6,,Intel HD Graphics 630,
30934,4,2.7,3.3,Intel HD Graphics 630,
30935,4,3.7,4.1,,
30936,16,2.8,4.4,,
30937,4,3.8,4,,
30938,10,3.3,4.1,,
30939,6,3,4.4,,
30940,2,2.5,,,
30941,6,2.6,,,
30942,6,2,,,
30943,4,3.7,4,Radeon R7 (on-die),
30944,4,3,3.5,,
30945,12,3.5,4.4,,
30946,2,3.1,,,
30947,1,1.8,,,
30948,1,1.8,,,
30949,2,3,,,
30950,2,3.1,,,
30951,4,2.9,,,
30952,4,3.2,,,
30953,2,2.4,,,
30954,2,2.4,,,
30955,2,2.93,,,
30956,2,3.06,,,
30957,2,2.83,,,
30958,2,3.16,,,
30959,4,2.33,,,
30960,4,2.5,,,
30961,2,2.9,,Intel HD Graphics,
30962,4,2.6,,,
30963,4,3.1,,,
30964,8,3.3,,,
30965,2,3.2,,Intel HD Graphics,
30966,4,2.4,,,
30967,4,1.6,,Radeon HD 8400,
30968,4,3.7,4,Radeon R7 (on-die),
30969,4,3.4,3.8,Radeon R7 (on-die),
30970,2,3.8,,Intel HD Graphics 4600,
30971,6,3.5,3.8,,
30972,4,3.1,3.8,Radeon R7 (on-die),
30973,4,3.7,4,,
30974,4,3.3,,,
30975,6,1.9,,,
30976,10,2.3,3,,
30977,10,3.1,3.5,,
30978,12,2.3,3.1,,
30979,4,3.3,,,
30980,6,2.7,,,
30981,4,2.5,,Intel HD Graphics 4600,
30982,4,3.6,3.9,Radeon R7 (on-die),
30983,4,3.6,3.9,Radeon R7 (on-die),
30984,2,3.6,,Intel HD Graphics 530,
30985,4,3.5,3.9,Intel HD Graphics P530,
30986,8,2.8,3.3,,
30987,10,3.3,4.5,,
30988,4,3.8,4.2,Intel HD Graphics P630,
30989,2,3,3.4,Radeon R5 (on die),
30990,6,2,,,
30991,4,4,4.6,Intel HD Graphics 630,
30992,4,3.8,4.8,Intel HD Graphics P630,
30993,4,3.7,4.1,Intel HD Graphics P630,
30994,2,2.7,,,
30995,2,3.2,,,
30996,1,1.6,,,
30997,3,2.7,,,
30998,2,3.2,,,
30999,4,2.8,,,
31000,6,2.8,,,
31001,3,2.5,,,
31002,4,2.5,,,
31003,4,2.6,,,
31004,2,2,,,
31005,2,2.13,,,
31006,2,2.66,,,
31007,2,2.66,,,
31008,2,2.66,,,
31009,2,3.46,,Intel HD Graphics,
31010,4,2.53,,,
31011,4,2.93,,,
31012,4,2.83,,,
31013,4,2.66,,,
31014,2,2.5,,Intel HD Graphics 2000,
31015,4,3,,,
31016,6,3.3,,,
31017,2,2.3,,Intel HD Graphics,
31018,2,3.1,,Intel HD Graphics,
31019,2,2.6,,Intel HD Graphics,
31020,4,3.4,,,
31021,4,3.5,,,
31022,4,3.5,,,
31023,4,3.2,,,
31024,2,2.8,,Intel HD Graphics,
31025,2,2.8,,Intel HD Graphics,
31026,4,1.8,,,
31027,2,3.2,3.4,Radeon HD 7480D,
31028,1,2.8,,,
31029,4,2.5,3.5,Radeon HD 8650D,
31030,4,4,4.3,Radeon HD 8670D,
31031,2,3.7,3.9,Radeon HD 8370D,
31032,2,3,,Radeon HD 7480D,
31033,4,4,4.1,,
31034,6,3.9,,,
31035,4,3,,,
31036,2,3.2,,Intel HD Graphics 4600,
31037,4,3.3,3.7,,
31038,6,2.4,,,
31039,4,3.5,3.6,,
31040,2,3.5,3.9,,
31041,4,3.1,3.8,,
31042,2,3.2,3.6,,
31043,2,3.5,,Intel HD Graphics,
31044,8,2.6,3.4,,
31045,12,2.6,3.3,,
31046,12,2.5,3.3,,
31047,6,2.7,,,
31048,4,3.9,4.1,Radeon R7 (on-die),
31049,2,3.3,,Intel HD Graphics 510,
31050,4,3.6,4,,
31051,4,3.5,3.9,,
31052,8,2.8,3.3,,
31053,8,3.2,3.8,,
31054,6,3.4,3.6,,
31055,2,4.1,,Intel HD Graphics 630,
31056,4,2.7,3.3,Intel HD Graphics 630,
31057,4,2.8,3.7,Intel HD Graphics 630,
31058,4,2.9,3.8,Intel HD Graphics 630,
31059,8,3.6,4.5,,
31060,4,3.7,4.1,,
31061,2,3.8,4,Radeon R5 (on die),
31062,4,3,3.7,Intel HD Graphics 2500,
31063,4,3.7,,Intel UHD Graphics 630,
31064,2,3.7,,Intel HD Graphics 4600,
31065,4,3.7,4.3,Intel UHD Graphics 630,
31066,4,3.6,4.5,Intel HD Graphics P630,
31067,4,4,4.9,Intel HD Graphics P630,
31068,2,3.6,,Intel UHD Graphics 610,
31069,2,3.3,,Intel UHD Graphics 610,
31070,4,3.9,4.7,Intel UHD Graphics 630,
31071,4,2.6,,,
31072,8,2,2.5,,
31073,12,2.6,3.2,,
31074,2,3.2,,Intel UHD Graphics 610,
31075,2,2.8,,,
31076,2,2.8,,,
31077,3,2.9,,,
31078,3,3,,,
31079,3,3.1,,,
31080,4,2.8,,,
31081,4,2.8,,,
31082,2,1.6,,,
31083,3,2.2,,,
31084,3,2.5,,,
31085,4,3.4,,,
31086,2,1.6,,,
31087,2,2,,,
31088,2,2.4,,,
31089,2,2,,,
31090,2,2.4,,,
31091,2,2.93,,,
31092,2,3,,,
31093,2,3,,,
31094,2,2.53,,,
31095,2,2.66,,,
31096,2,3,,,
31097,2,3.2,,Intel HD Graphics,
31098,4,2.4,,,
31099,4,3.2,,,
31100,4,2.33,,,
31101,4,2.33,,,
31102,4,2.83,,,
31103,4,2.83,,,
31104,4,3.2,,,
31105,2,2.93,,,
31106,4,2.4,,,
31107,2,3.4,,,
31108,4,3.2,,,
31109,1,2.6,,,
31110,2,2.7,,Radeon HD 6410D,
31111,8,3.6,,,
31112,4,3.1,,,
31113,6,3.3,,,
31114,4,3.2,,,
31115,2,3.2,,,
31116,4,2.8,,,
31117,2,1.9,,Intel HD Graphics,
31118,4,3.1,,Intel HD Graphics,
31119,4,3.4,,,
31120,4,3.5,,Intel HD Graphics P4000,
31121,2,2.7,,Intel HD Graphics,
31122,2,2.8,,Intel HD Graphics,
31123,4,2.5,,,
31124,4,3.8,,,
31125,4,4.1,4.4,Radeon HD 8670D,
31126,2,3.8,4,Radeon HD 8370D,
31127,2,2.7,,Radeon HD 6410D,
31128,2,2.8,,Radeon HD 6410D,
31129,1,2,,Intel HD Graphics,
31130,4,4.2,,,
31131,4,4,4.2,,
31132,2,2.8,,,
31133,2,2.4,,Radeon HD 6370D,
31134,8,3.1,3.8,,
31135,4,2.2,,,
31136,4,3.1,3.8,Radeon R7 (on-die),
31137,2,3.8,4,Radeon HD 8470D,
31138,6,1.9,,,
31139,6,1.6,,,
31140,14,2.3,3.3,,
31141,4,3.5,3.9,,
31142,6,2.6,3.1,,
31143,4,3.1,3.6,Iris Pro Graphics 6200,
31144,2,3.9,,Intel HD Graphics 530,
31145,2,3.3,,Intel HD Graphics 530,
31146,4,2.2,2.8,Intel HD Graphics 530,
31147,4,2.7,3.5,Intel HD Graphics 530,
31148,2,3.5,,Intel HD Graphics 530,
31149,2,2.9,,Intel HD Graphics 510,
31150,2,3,,Intel HD Graphics 530,
31151,2,3.3,,Intel HD Graphics,
31152,6,3.6,3.8,,
31153,2,3.7,,Intel HD Graphics 630,
31154,2,3,,Intel HD Graphics 610,
31155,2,3,,Intel HD Graphics 630,
31156,2,3.4,,Intel HD Graphics 610,
31157,4,3,3.5,,
31158,4,3.3,3.7,Intel HD Graphics P630,
31159,4,3.5,3.9,,
31160,4,3.2,3.6,,
31161,4,2.667,,,
31162,2,3.8,,Intel UHD Graphics 630,
31163,2,3.9,,Intel UHD Graphics 630,
31164,2,3.2,,Intel UHD Graphics 630,
31165,8,2.4,3.1,,
31166,8,2.2,3,,
31167,4,3.7,4.4,,
31168,4,3.7,4.4,,
31169,4,3.8,4.7,Intel HD Graphics P630,
31170,4,3.5,4.5,,
31171,2,3.2,,Intel HD Graphics,
31172,4,3.5,3.7,,
31173,2,4.2,,Intel HD Graphics 630,
31174,4,2.8,3.7,Intel HD Graphics 630,
31175,2,3,,,
31176,1,1.8,,,
31177,3,2.9,,,
31178,3,3,,,
31179,2,3.1,,,
31180,4,2.9,,,
31181,4,3,,,
31182,4,3,,,
31183,2,2.7,,,
31184,2,2.8,,,
31185,2,2.9,,,
31186,3,2.3,,,
31187,3,2.8,,,
31188,3,3,,,
31189,2,2.2,,,
31190,2,2.2,,,
31191,2,1.6,,,
31192,2,1.6,,,
31193,2,1.8,,,
31194,2,1.8,,,
31195,2,2.4,,,
31196,2,2.5,,,
31197,2,2.2,,,
31198,2,2.6,,,
31199,2,2.6,,,
31200,2,2.8,,,
31201,2,2.8,,,
31202,2,1.86,,,
31203,2,2.13,,,
31204,2,2.13,,,
31205,2,2.33,,,
31206,2,3.06,,,
31207,2,2.66,,,
31208,2,2.8,,,
31209,2,2.8,,,
31210,2,3,,,
31211,2,3.16,,,
31212,4,2.53,,,
31213,4,2.66,,,
31214,4,2.5,,,
31215,4,2.5,,,
31216,4,2.66,,,
31217,4,2.66,,,
31218,4,2.66,,,
31219,4,2.93,,,
31220,4,2.93,,,
31221,4,2.8,,,
31222,2,3.2,,,
31223,3,2.8,,,
31224,4,3.5,,,
31225,2,3,,,
31226,2,3.3,,,
31227,4,3.2,,,
31228,4,3.2,,,
31229,4,2.8,,,
31230,1,2.6,,,
31231,4,3,,,
31232,2,3,,Intel HD Graphics,
31233,4,2.9,,Radeon HD 6550D,
31234,2,3,,,
31235,2,2.7,,Intel HD Graphics,
31236,2,3.3,,Intel HD Graphics,
31237,8,4.4,4.7,,
31238,4,2.05,,Radeon HD 8400,
31239,2,2.9,,Intel HD Graphics,
31240,2,2.5,,,
31241,2,2.5,,,
31242,2,2.5,,,
31243,2,2.5,,Radeon HD 6410D,
31244,2,2.5,,Radeon HD 6410D,
31245,2,2.7,,Radeon HD 6410D,
31246,2,3.4,,Radeon HD 7480D,
31247,2,3.5,3.9,Radeon R5 (on die),
31248,1,2,,Intel HD Graphics,
31249,4,3.3,,,
31250,6,3.8,,,
31251,4,3,,,
31252,4,2.7,,,
31253,4,2.7,,,
31254,2,2.4,,Radeon HD 6370D,
31255,2,4.2,,,
31256,6,3.7,4,,
31257,2,3.5,3.9,,
31258,2,3.2,,Intel HD Graphics,
31259,2,2.8,,Intel HD Graphics,
31260,2,3.5,,Intel HD Graphics,
31261,8,2.4,,,
31262,8,2.4,3.2,,
31263,14,2.6,3.6,,
31264,4,2.4,,,
31265,4,1.8,,,
31266,4,3.4,3.8,Intel HD Graphics P4600,
31267,8,3.4,4.3,,
31268,4,2.9,,Intel HD Graphics 4600,
31269,2,3.3,,Intel HD Graphics 530,
31270,2,3.6,,Intel HD Graphics 530,
31271,4,3.3,3.7,Intel HD Graphics P530,
31272,4,3.5,3.8,,
31273,2,3.7,4,Radeon R5 (on die),
31274,4,4,4.2,,
31275,12,2.2,2.9,,
31276,4,2.2,,Radeon R3 (on die),
31277,4,3.7,4,,
31278,2,4,,Intel HD Graphics 630,
31279,2,3,,Intel HD Graphics 610,
31280,2,3.4,,Intel HD Graphics 630,
31281,2,3.5,,Intel HD Graphics 630,
31282,4,2.4,3,Intel HD Graphics 630,
31283,4,4.3,4.5,,
31284,8,1.9,2.4,,
31285,4,2.667,,,
31286,14,3.1,4.4,,
31287,6,3.5,4.5,Intel HD Graphics P630,
31288,4,3.3,4.3,,
31289,4,3.4,4.5,Intel HD Graphics P630,
31290,2,3.1,,Intel HD Graphics,
31291,4,3.8,4.2,Intel HD Graphics P630,
31292,2,2.9,,,
31293,1,2.2,,,
31294,3,2.6,,,
31295,4,2.5,,,
31296,4,2.6,,,
31297,2,1.8,,,
31298,3,2.3,,,
31299,4,2.2,,,
31300,4,2.3,,,
31301,4,2.4,,,
31302,4,3,,,
31303,2,2.4,,,
31304,2,2,,,
31305,2,2.2,,,
31306,2,2.7,,,
31307,2,2.7,,,
31308,2,2.8,,,
31309,2,2.13,,,
31310,2,2.93,,,
31311,2,2.33,,,
31312,2,2.33,,,
31313,2,2.53,,,
31314,2,2.93,,,
31315,2,2.66,,,
31316,2,2.66,,,
31317,2,2.66,,,
31318,2,3.16,,,
31319,4,2.4,,,
31320,4,2.33,,,
31321,4,2.33,,,
31322,4,2.66,,,
31323,4,2.66,,,
31324,4,2.66,,,
31325,4,2.66,,,
31326,4,2.83,,,
31327,4,2.93,,,
31328,4,2.93,,,
31329,4,3,,,
31330,4,3,,,
31331,4,3.2,,,
31332,4,3.2,,,
31333,4,3.2,,,
31334,2,2.93,,,
31335,2,3.1,,,
31336,3,2.7,,,
31337,2,2.8,,,
31338,2,3.2,,,
31339,4,3.6,,,
31340,2,2.9,,,
31341,2,2.9,,,
31342,4,2.8,,,
31343,3,2.8,,,
31344,3,3.4,,,
31345,3,3,,,
31346,2,2.2,,Intel HD Graphics,
31347,4,3.5,,,
31348,4,3.7,,,
31349,4,2.6,,Radeon HD 6530D,
31350,2,4,4.2,Radeon HD 8000 Series,
31351,2,3.4,,Intel HD Graphics,
31352,2,3.2,,Intel HD Graphics,
31353,4,4,,Radeon HD 8670D,
31354,2,3.8,4,Radeon HD 8370D,
31355,2,3.2,3.4,Radeon HD 7480D,
31356,6,3.6,3.9,,
31357,8,3.1,,,
31358,8,3.2,4.1,,
31359,2,2.8,,,
31360,8,3.2,4,,
31361,8,3.3,4.3,,
31362,4,2,,,
31363,2,3.5,3.9,Radeon R5 (on die),
31364,2,3.2,,Intel HD Graphics,
31365,2,3.8,,Intel HD Graphics 530,
31366,4,3.4,3.8,,
31367,2,3.5,,Intel HD Graphics 630,
31368,4,4,4.2,,
31369,8,2.5,3.3,,
31370,4,3.8,4.2,,
31371,2,3.8,4,Radeon R5 (on die),
31372,4,3.2,3.6,,
31373,4,3.5,4.5,,
