model_no,RPM_low,RMP_high,noise_level,water_cooled
20001,1550,1550,25.6,false
20002,500,1800,30.6,true
20003,500,2000,31.6,false
20004,550,2100,34.1,true
20005,650,1800,27,true
20006,300,1500,24.6,false
20007,500,1800,30.6,true
20008,1500,1500,25.6,false
20009,500,1850,28,false
20010,200,1800,0,true
20011,650,2000,26,false
20012,500,1800,30.6,true
20013,500,2250,32.9,true
20014,1550,1550,25.6,false
20015,500,2250,32.9,true
20016,1550,1550,25.6,false
20017,300,1500,24.6,false
20018,1500,1500,28,true
20019,1500,1500,25.6,false
20020,400,1850,28.9,true
20021,500,1850,29,false
20022,500,1500,30.5,false
20023,200,1800,0,true
20024,550,2100,34.1,true
20025,300,1500,22.4,false
20026,500,1800,30.6,true
20027,500,1800,30.6,true
20028,1500,1500,26.8,false
20029,500,2250,32.9,true
20030,500,1800,30.6,true
20031,2800,2800,42,false
20032,200,2000,0,true
20033,800,2700,37.7,true
20034,2000,2000,27.7,true
20035,2000,2000,27.7,true
20036,500,1800,30.6,true
20037,500,1850,28,false
20038,130,2000,23.3,false
20039,2100,2100,29,true
20040,350,1750,27.2,true
20041,450,2000,22.6,false
20042,2100,2100,29,true
20043,2000,2000,27.7,true
20044,1550,1550,25.6,false
20045,2150,2150,27,false
20046,1550,1550,25.6,false
20047,120,2800,22,false
20048,500,1850,28,false
20049,600,2500,23.6,false
20050,600,2200,36.45,true
20051,500,1850,29,false
20052,500,1800,30.6,true
20053,1550,1550,25.6,false
20054,500,1800,30.6,true
20055,500,2250,32.9,true
20056,550,2100,0,true
20057,200,2000,0,true
20058,1500,1500,24.3,false
20059,600,2500,23.6,false
20060,0,0,29,true
20061,500,1850,28,false
20062,600,2500,23.6,false
20063,0,0,29,true
20064,500,1850,28,false
20065,2000,2000,27.7,true
20066,500,1850,29,false
20067,500,1850,31.5,false
20068,500,2250,32.9,true
20069,200,1800,0,false
20070,650,2000,30,false
20071,450,1850,23.9,false
20072,500,2250,32.9,true
20073,650,1750,27.2,false
20074,450,2000,29.7,true
20075,1400,1400,0,false
20076,550,2100,34.1,true
20077,200,1700,0,true
20078,500,1700,29.3,false
20079,480,2400,0,true
20080,2450,2450,35.4,true
20081,550,2100,31.1,true
20082,200,1700,0,true
20083,2700,2700,22.4,false
20084,200,1700,0,true
20085,500,1800,27.5,false
20086,0,0,25.4,false
20087,800,2500,37.6,true
20088,400,2000,22.8,false
20089,650,1800,27,true
20090,2000,2000,28.2,false
20091,1500,1500,25.6,false
20092,500,2250,32.9,true
20093,500,1800,30.6,true
20094,400,2000,22.8,false
20095,600,2500,23.6,false
20096,400,1850,35.8,true
20097,480,2400,0,true
20098,2200,2200,23.85,false
20099,300,1500,24.6,false
20100,500,1800,36,true
20101,500,1500,34.48,true
20102,500,1800,30.6,true
20103,690,2500,32.8,false
20104,600,2500,23.6,false
20105,500,1500,30.5,false
20106,500,2000,34.3,true
20107,800,2000,26,false
20108,650,1800,27,true
20109,450,2000,30.4,true
20110,1550,1550,25.6,false
20111,480,2400,0,true
20112,600,2500,23.6,false
20113,500,2150,36.49,true
20114,800,2000,0,true
20115,500,1800,27.5,false
20116,200,1700,0,true
20117,500,1650,28,false
20118,100,2200,32.3,false
20119,500,2000,31.2,false
20120,500,1500,32.1,true
20121,200,1800,0,true
20122,1500,1500,25.6,true
20123,500,2000,29.85,false
20124,1550,1550,25.6,false
20125,550,2100,34.1,true
20126,450,2000,22.6,false
20127,1550,1550,25.6,false
20128,2000,2000,37,true
20129,230,3000,39.9,true
20130,2700,2700,22.4,false
20131,500,2000,36,true
20132,1500,1500,25.6,true
20133,2400,2400,37,true
20134,350,1750,27.2,true
20135,600,2200,36.45,true
20136,200,1500,28.6,false
20137,700,1800,35.2,true
20138,500,1500,33,true
20139,2150,2150,28.1,true
20140,200,2000,0,true
20141,500,2250,32.9,true
20142,600,2000,36,false
20143,500,1700,33.8,true
20144,1500,1500,28,true
20145,500,2000,31.6,false
20146,600,2200,36.45,true
20147,550,2300,36,true
20148,500,2000,36,true
20149,600,2500,23.6,false
20150,500,1850,28,false
20151,500,2000,34.3,true
20152,1500,1500,25.6,false
20153,0,0,24.4,false
20154,0,0,34,true
20155,0,0,47.3,true
20156,1500,1500,25.6,true
20157,500,2000,31.6,false
20158,200,1900,0,true
20159,1850,1850,27,true
20160,800,1700,30.8,false
20161,450,1700,25.1,false
20162,500,2250,32.9,true
20163,650,2050,27,false
20164,500,1500,32.1,true
20165,1800,1800,26.92,false
20166,600,2500,23.6,false
20167,800,2000,31.5,true
20168,350,1750,27.2,true
20169,500,2250,32.9,true
20170,800,2000,29,true
20171,200,2000,0,true
20172,1500,1500,25.6,true
20173,2700,2700,22.4,false
20174,2600,2600,22.2,false
20175,2700,2700,22.4,false
20176,1850,1850,27,false
20177,1550,1550,25.6,false
20178,350,1750,27.2,true
20179,400,2000,22.8,false
20180,2200,2200,23.85,false
20181,550,2300,36,true
20182,2150,2150,28.1,true
20183,500,1700,29.3,false
20184,500,1800,38,true
20185,500,2250,32.9,true
20186,600,2500,23.6,false
20187,500,1800,29.3,false
20188,500,2200,25.8,false
20189,1850,1850,27,true
20190,1500,1500,26.5,true
20191,1500,1500,26.8,false
20192,500,1500,34.48,true
20193,500,2250,32.9,true
20194,650,2050,27,false
20195,200,2100,24.4,false
20196,600,2500,23.6,false
20197,200,2000,0,false
20198,2450,2450,35.4,true
20199,800,2800,32.5,false
20200,650,1800,27,true
20201,500,2000,29.85,false
20202,200,1800,22.5,true
20203,500,1800,30.6,true
20204,200,1800,0,false
20205,500,2000,34.3,true
20206,400,2000,0,true
20207,1500,1500,26.5,true
20208,100,2000,20,true
20209,800,1600,32.6,true
20210,450,2000,22.6,false
20211,150,2000,25.8,false
20212,200,1900,0,true
20213,1850,1850,27,true
20214,1550,1550,25.6,false
20215,300,2000,22.5,false
20216,550,2300,36,true
20217,550,2100,34.1,true
20218,2450,2450,35.4,true
20219,800,2500,37.6,true
20220,400,1850,28.9,true
20221,300,1500,22.4,false
20222,2435,2435,37.7,true
20223,1500,1500,25.6,false
20224,500,1850,28,false
20225,1800,1800,30.8,true
20226,500,1850,28,false
20227,450,2000,22.6,false
20228,0,0,32.3,true
20229,250,2000,30.2,true
20230,1850,1850,27,false
20231,500,2000,38,true
20232,1600,1600,25,true
20233,450,2000,29.7,true
20234,500,1700,33.8,true
20235,230,3000,39.9,true
20236,800,1900,0,true
20237,2700,2700,22.4,false
20238,480,2400,0,true
20239,200,1800,22.5,true
20240,200,1900,22.5,true
20241,500,2250,32.9,true
20242,100,2000,0,false
20243,400,1600,33.9,false
20244,650,1800,27,false
20245,650,2000,30,false
20246,200,1900,22.5,true
20247,2200,2200,36.45,true
20248,1850,1850,27,true
20249,500,2000,33.2,true
20250,500,2000,25.8,true
20251,690,2500,27.2,true
20252,500,2250,32.9,true
20253,500,1500,34.48,true
20254,300,1500,24.6,false
20255,0,0,22.7,true
20256,100,2000,0,false
20257,2400,2400,37,true
20258,300,1500,24.6,false
20259,200,1900,0,true
20260,400,1850,28.9,true
20261,250,2700,0,false
20262,1850,1850,27,true
20263,500,3050,30.5,false
20264,0,0,0,true
20265,1800,1800,30.2,false
20266,1550,1550,25.6,false
20267,2200,2200,39.8,true
20268,800,2000,31,false
20269,300,1850,29.4,false
20270,200,2000,0,false
20271,800,1800,25,false
20272,500,2250,32.9,true
20273,650,1750,27.2,true
20274,500,1850,31.5,false
20275,800,2500,37.6,true
20276,100,2000,0,false
20277,500,2200,25.8,false
20278,1800,1800,26.1,false
20279,1500,1500,23.6,false
20280,500,1500,33,true
20281,650,1750,27.2,true
20282,400,1600,35.8,true
20283,250,2000,30.2,true
20284,500,2000,34.3,true
20285,2450,2450,35.4,true
20286,0,0,0,false
20287,2200,2200,36.45,true
20288,300,1850,29.4,false
20289,300,2450,30,true
20290,0,0,0,true
20291,500,2250,32.9,true
20292,700,1800,35.2,true
20293,650,1800,30,true
20294,500,1500,33,true
20295,200,2100,24.4,false
20296,2500,2500,0,false
20297,1500,1500,25.6,false
20298,2700,2700,22.4,false
20299,800,1700,30.8,false
20300,1550,1550,25.6,false
20301,0,0,24.6,false
20302,800,1900,32,true
20303,1550,1550,25.6,false
20304,0,0,0,true
20305,500,2000,34.3,true
20306,2400,2400,37,true
20307,300,1200,24.9,false
20308,500,2000,36,true
20309,550,2200,33.5,true
20310,600,2000,29.4,false
20311,600,1500,28.9,false
20312,800,2400,37.5,true
20313,200,1900,0,true
20314,700,1500,27,false
20315,800,1800,0,true
20316,100,2000,0,false
20317,300,2300,0,false
20318,500,2000,34.3,true
20319,500,1500,34.48,true
20320,1550,1550,25.6,false
20321,500,1800,30.6,false
20322,1850,1850,27,true
20323,0,0,39.5,true
20324,800,1800,25,false
20325,200,2100,24.4,false
20326,700,1800,35.2,true
20327,1800,1800,30.8,true
20328,1500,1500,25.6,true
20329,500,2000,36,true
20330,2400,2400,37,true
20331,480,2400,0,true
20332,200,2100,24.4,false
20333,690,2500,27.2,true
20334,1600,1600,24.4,false
20335,2100,2100,29,true
20336,250,1800,0,false
20337,800,2500,37.6,true
20338,400,2000,22.8,false
20339,500,1850,28,false
20340,500,2150,36.49,true
20341,550,2200,31.6,true
20342,550,2300,36,true
20343,500,1700,33.8,true
20344,1800,1800,26.1,false
20345,1550,1550,25.6,false
20346,2150,2150,28.1,true
20347,1800,1800,21.3,false
20348,2100,2100,29,true
20349,550,2300,36,true
20350,500,2000,34.3,true
20351,2400,2400,37,true
20352,2400,2400,37,true
20353,300,1600,17.6,false
20354,300,2450,30,true
20355,650,1800,27,true
20356,800,2000,29,true
20357,500,2000,25.8,true
20358,500,2000,34.3,true
20359,500,2200,35.2,false
20360,800,2000,24.5,false
20361,700,2100,35.7,true
20362,550,2200,33.5,true
20363,2700,2700,22.4,false
20364,500,1800,29.3,false
20365,900,2000,33.5,true
20366,700,1800,35.2,true
20367,600,2400,38.71,true
20368,500,2250,32.9,true
20369,480,2400,0,true
20370,500,2000,34.3,true
20371,0,0,36.8,true
20372,500,2000,36,true
20373,500,1600,27,true
20374,1850,1850,29.6,false
20375,800,2800,37.6,false
20376,2200,2200,36,true
20377,300,1850,29.4,false
20378,500,1850,0,false
20379,1500,1500,25.6,false
20380,1700,1700,28.3,true
20381,1800,1800,30.2,false
20382,700,1800,35.2,false
20383,500,2000,25.8,true
20384,500,1500,33,true
20385,200,2200,28.9,true
20386,0,0,0,true
20387,500,1850,28,false
20388,650,2050,27,false
20389,500,2200,34.2,true
20390,200,1800,0,false
20391,1800,1800,26.1,false
20392,500,3050,30.5,false
20393,950,2150,31,true
20394,500,1500,33,true
20395,500,2000,31.2,false
20396,2600,2600,28,false
20397,1700,1700,37,true
20398,800,2400,37.5,true
20399,1550,1550,25.6,false
20400,800,2500,37.6,true
20401,480,2400,0,true
20402,700,1800,35.2,true
20403,300,2000,0,false
20404,400,2000,0,true
20405,3000,3000,36.7,false
20406,800,2000,31,false
20407,500,1800,25.8,true
20408,300,2000,26.88,false
20409,1500,1500,25.6,false
20410,800,2200,33.8,false
20411,650,1800,28,false
20412,700,1800,28,false
20413,650,2000,30,true
20414,700,1800,35.2,true
20415,650,1800,27,true
20416,450,2600,36.4,true
20417,650,1400,27,true
20418,2000,2000,37,true
20419,300,1600,17.6,false
20420,500,1800,30.6,false
20421,500,2250,32.9,true
20422,300,1550,26.7,true
20423,250,1800,29.5,true
20424,500,2000,34.7,true
20425,2000,2000,27.7,false
20426,600,2500,23.6,false
20427,2500,2500,23,false
20428,2500,2500,23,false
20429,500,2000,33.2,true
20430,2000,2000,27.7,false
20431,1500,1500,25.5,false
20432,300,1850,29.4,false
20433,350,1750,27.2,false
20434,500,2000,34.3,true
20435,800,1900,32,true
20436,500,2000,36.4,true
20437,500,2000,0,false
20438,650,1800,30,true
20439,650,1800,27,true
20440,0,0,31.5,true
20441,0,0,32.8,true
20442,0,0,32,true
20443,500,1800,25.8,true
20444,0,0,39.9,true
20445,2400,2400,37,true
20446,200,1800,0,true
20447,300,1200,24.9,false
20448,900,1200,19.8,false
20449,2150,2150,28.1,true
20450,250,1500,0,false
20451,800,2500,37.6,true
20452,1400,1400,0,false
20453,100,1600,17.6,false
20454,300,1500,24.6,false
20455,2000,2000,36,true
20456,120,3000,39.7,true
20457,300,1500,24.6,false
20458,1500,1500,25.6,false
20459,500,2250,0,true
20460,300,1550,26.7,true
20461,650,1800,27,false
20462,800,1800,0,true
20463,800,1700,30.8,false
20464,500,1800,38,true
20465,600,1800,32.8,false
20466,2200,2200,36.45,true
20467,450,2000,29.7,true
20468,800,1900,0,true
20469,0,0,38.1,true
20470,2400,2400,37,true
20471,600,2200,39.5,true
20472,500,2000,33.2,true
20473,1550,1550,25.6,false
20474,650,2000,30,true
20475,500,2000,31.6,false
20476,650,1800,27,false
20477,500,2000,29.9,true
20478,650,2050,27,false
20479,250,1800,0,false
20480,500,1500,33,true
20481,0,0,35,true
20482,500,2000,31.2,false
20483,250,1800,29.5,true
20484,600,2000,29,false
20485,500,1500,33,true
20486,0,0,0,true
20487,2200,2200,38.3,true
20488,500,2000,29.9,false
20489,500,1500,33,true
20490,500,1200,31.5,false
20491,500,1650,27.8,false
20492,500,1800,30,true
20493,500,2000,29.9,false
20494,700,1800,35.2,true
20495,300,1500,23.8,false
20496,2000,2000,25.4,false
20497,600,1800,32.8,false
20498,400,1600,31.8,true
20499,500,1500,33,true
20500,2000,2000,30.85,true
20501,330,1600,25,false
20502,1500,1500,26.5,true
20503,120,3500,33.5,false
20504,400,2000,0,true
20505,100,3850,0,false
20506,700,1800,35.2,true
20507,120,3500,36.5,false
20508,500,1500,33,true
20509,800,1900,32,true
20510,600,1500,28.9,false
20511,800,1950,26,false
20512,2000,2000,22.1,true
20513,700,1800,28,false
20514,2700,2700,37.68,true
20515,100,2000,0,false
20516,2000,2000,28.2,true
20517,1500,1500,25.6,false
20518,450,1850,23.9,false
20519,500,2250,32.9,true
20520,500,2000,34.7,true
20521,300,1850,29.4,false
20522,1800,1800,30.2,false
20523,500,2000,25.8,true
20524,550,2300,36,true
20525,0,0,24.4,false
20526,650,1800,30,true
20527,800,2500,37.6,true
20528,1600,1600,26.4,false
20529,0,0,32,true
20530,2200,2200,36,true
20531,0,0,32,true
20532,500,2500,28.1,true
20533,500,1850,28,false
20534,600,1500,32,false
20535,650,1800,27,false
20536,600,2000,29.4,false
20537,200,1700,0,false
20538,600,2200,36.45,true
20539,650,1800,24.9,false
20540,650,2050,27,false
20541,2000,2000,31.4,true
20542,2400,2400,36,false
20543,120,1500,24.3,false
20544,500,1800,34.7,true
20545,1600,1600,36.1,true
20546,400,2000,22.8,false
20547,500,2000,25.8,true
20548,0,0,40.5,true
20549,600,2000,31.24,true
20550,650,2000,34,true
20551,500,1800,30,true
20552,0,0,0,true
20553,2000,2000,28,false
20554,500,1500,33,true
20555,500,1650,27.8,false
20556,0,0,0,true
20557,450,2000,30.4,true
20558,300,1500,22.4,false
20559,800,1800,36,false
20560,500,2000,36.4,true
20561,1500,1500,25.6,false
20562,500,2000,36,true
20563,900,2400,32.5,false
20564,800,1900,32,true
20565,500,2000,29.9,false
20566,800,2000,29,true
20567,2500,2500,39.5,true
20568,2200,2200,36.45,true
20569,800,2500,37.6,true
20570,500,2000,29.9,false
20571,200,1700,0,false
20572,0,0,34.9,true
20573,600,2200,25.8,false
20574,500,1600,27,true
20575,2100,2100,43,true
20576,800,1900,32,true
20577,750,1800,29.6,true
20578,600,2400,38.71,true
20579,300,1500,28.6,false
20580,0,0,33.8,true
20581,500,2000,33.2,true
20582,500,2000,32.2,true
20583,500,1500,33,true
20584,500,2000,29.85,false
20585,500,1800,30,true
20586,250,1400,0,false
20587,900,2000,20,false
20588,400,1400,21.1,false
20589,1500,1500,26.8,false
20590,500,2000,25.8,true
20591,2500,2500,27.3,false
20592,500,2000,33.2,true
20593,650,2000,30,true
20594,500,3000,0,false
20595,1800,1800,0,false
20596,500,1200,31.5,false
20597,500,2000,36,true
20598,700,1800,35.2,true
20599,900,2300,30.5,false
20600,950,2150,31,true
20601,1500,1500,28.2,true
20602,500,2000,32.6,true
20603,600,2200,36.45,true
20604,500,1850,24.2,false
20605,500,2000,29.9,true
20606,200,1700,0,false
20607,500,1800,26.8,false
20608,500,1650,0,false
20609,900,2000,26.5,false
20610,500,2100,31.6,false
20611,600,1200,20.5,false
20612,0,0,34.3,true
20613,500,1600,27,true
20614,0,0,30,true
20615,500,1700,35.5,true
20616,120,1500,24.6,false
20617,450,2000,29.7,true
20618,400,1400,34.2,false
20619,500,1850,29,false
20620,0,0,24.9,true
20621,0,0,0,true
20622,2150,2150,27,true
20623,650,2000,30,true
20624,700,1800,37.2,false
20625,250,1500,0,false
20626,500,2000,32.6,true
20627,250,1500,0,false
20628,700,1500,30.5,false
20629,1750,1750,20,false
20630,2435,2435,37.7,true
20631,650,1800,27,false
20632,500,1800,30,true
20633,600,2200,35.6,true
20634,500,1500,30.5,true
20635,600,2200,26.4,false
20636,300,0800,14.5,false
20637,2150,2150,28.1,true
20638,500,1850,24.4,false
20639,650,1400,27,false
20640,300,2000,26.88,false
20641,500,2200,33.1,true
20642,800,1900,32,true
20643,250,1800,0,false
20644,250,1400,0,false
20645,800,1800,28.6,false
20646,900,2000,33.5,true
20647,0,0,31.5,true
20648,300,1500,22.4,false
20649,500,2000,23.6,false
20650,800,1900,0,true
20651,2150,2150,27,true
20652,800,2500,37.6,true
20653,500,1800,34.7,true
20654,0,0,38,false
20655,0,0,36,true
20656,500,1800,34.7,true
20657,600,2000,31,false
20658,500,2000,23.6,false
20659,800,1800,28.6,false
20660,300,1800,27.8,false
20661,700,1800,28,false
20662,450,2600,36.4,true
20663,1850,1850,29.6,false
20664,300,2000,0,false
20665,600,1600,31,false
20666,900,1800,21,false
20667,2400,2400,37,true
20668,1200,1200,20.4,true
20669,500,1500,26.6,false
20670,2000,2000,30,false
20671,1500,1500,28.2,true
20672,250,1800,0,true
20673,500,2000,33.5,false
20674,1500,1500,28.2,true
20675,500,1350,22.5,true
20676,2000,2000,29,true
20677,500,2000,29.9,true
20678,400,2300,40,false
20679,500,1600,27,true
20680,500,1500,30.5,false
20681,800,1800,26,false
20682,300,1500,28.6,false
20683,0,0,35,true
20684,600,2000,31.24,true
20685,650,2000,30,true
20686,1500,1500,25.6,false
20687,700,1800,35.2,false
20688,500,1800,25.8,true
20689,2000,2000,22.1,true
20690,500,1700,35.5,true
20691,600,2000,29,false
20692,450,2000,29.7,true
20693,600,1500,0,true
20694,120,2500,26,false
20695,500,2000,29.9,false
20696,600,2500,33,false
20697,900,1800,30,true
20698,1400,1400,23.7,false
20699,1500,1500,28.2,true
20700,250,1800,0,true
20701,500,2000,30.7,true
20702,500,2000,34.7,true
20703,2000,2000,28.2,true
20704,500,1600,24,false
20705,2300,2300,44.4,true
20706,800,1600,35,true
20707,200,2100,28,false
20708,600,1400,26,false
20709,0,0,34.3,true
20710,500,1800,32.1,true
20711,0,0,30.5,false
20712,2700,2700,22.4,false
20713,2000,2000,22.1,true
20714,2200,2200,30,true
20715,250,1500,0,false
20716,500,1500,23.9,true
20717,700,1800,35.2,true
20718,200,1800,0,true
20719,900,2000,33.5,true
20720,500,2000,32.7,true
20721,250,1400,0,false
20722,600,1600,31,false
20723,2000,2000,34,true
20724,750,1800,29.6,true
20725,700,2200,29,false
20726,100,2000,0,false
20727,2000,2000,40,true
20728,500,2000,29.9,true
20729,600,1500,28.9,false
20730,0,0,39.9,true
20731,650,2000,30,true
20732,130,2500,39,true
20733,600,2000,36,false
20734,500,2000,32.2,true
20735,600,1800,31,false
20736,330,1600,25,false
20737,2000,2000,34,true
20738,800,2200,33.8,false
20739,300,1800,30.4,false
20740,0,0,32.1,true
20741,500,2000,31.6,false
20742,300,0800,14.5,false
20743,800,2000,0,true
20744,250,1800,0,true
20745,500,2000,32.2,true
20746,500,1800,23.46,true
20747,700,1800,35.2,false
20748,1500,1500,25.6,false
20749,500,1800,25.8,true
20750,800,3600,35.8,false
20751,500,2600,34.6,false
20752,650,1800,0,false
20753,500,1800,34.7,true
20754,800,2300,36.9,true
20755,950,2150,36.5,true
20756,800,1900,32,true
20757,0,0,36,true
20758,500,2000,32,true
20759,600,2200,35.6,true
20760,500,1650,27.8,false
20761,1700,1700,30.32,true
20762,250,2000,30.2,true
20763,400,1500,28.8,false
20764,500,1800,30,true
20765,1550,1550,25.6,true
20766,500,2000,32.6,true
20767,1800,1800,28,false
20768,900,1600,26.1,false
20769,500,1800,38,true
20770,500,1800,25.8,true
20771,600,1800,26,true
20772,500,2400,39.9,true
20773,600,2500,30,false
20774,500,2000,29.85,true
20775,500,1800,34.7,true
20776,800,2300,36.9,true
20777,800,1800,0,false
20778,500,1500,30.5,true
20779,800,1800,35,false
20780,120,3000,39.7,true
20781,800,2000,0,true
20782,500,2000,29.85,false
20783,500,2250,0,true
20784,0,0,0,true
20785,900,2000,33.5,true
20786,600,3300,28.4,false
20787,650,2000,30,false
20788,900,2500,0,false
20789,1700,1700,30.32,true
20790,2000,2000,28.2,true
20791,800,2200,23,false
20792,800,2000,31,true
20793,200,1800,0,false
20794,1500,1500,25.6,false
20795,2200,2200,24.7,false
20796,800,2200,0,false
20797,450,2600,36.4,true
20798,120,1600,22.4,false
20799,500,1800,30,true
20800,200,2200,28.9,true
20801,800,2500,29.6,false
20802,500,2100,31.6,false
20803,650,1800,28,false
20804,500,2400,39.9,true
20805,1500,1500,28.2,true
20806,500,1800,25.8,true
20807,500,2000,23.6,false
